Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
2845;P;Por;Contini;Napoli;1;6;6;0;0;0;0;0;0;0;0;0;0
5853;P;Por;Sorrentino A.;Monza;5;5,9;3,3;0;13;0;0;0;0;0;0;0;0
3;P;Por;Radunovic;Cagliari;7;5,71;4;0;12;0;0;0;0;0;0;0;0
4;P;Por;Sportiello;Milan;2;6,25;5,75;0;1;0;0;0;0;0;0;0;0
41;P;Por;Mirante;Milan;1;7;6;0;1;0;0;0;0;0;0;0;0
159;P;Por;Sepe;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
188;P;Por;Leali;Genoa;1;7;5;0;2;0;0;0;0;0;0;0;0
217;P;Por;Lamanna;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
218;P;Por;Perin;Juventus;2;6;5,5;0;1;0;0;0;0;0;0;0;0
219;P;Por;Sommariva;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
510;P;Por;Pegolo;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
511;P;Por;Perilli;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
543;P;Por;Padelli;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
673;P;Por;Perisan;Empoli;1;5;3;0;2;0;0;0;0;0;0;0;0
1926;P;Por;Di Gennaro;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
1930;P;Por;Pinsoglio;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
1946;P;Por;Aresti;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
1947;P;Por;Fiorillo;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
2178;P;Por;Cragno;Sassuolo;2;6,25;3,25;0;6;0;0;0;0;0;0;0;0
2294;P;Por;Cerofolini;Frosinone;2;6;3,75;0;4;0;0;0;0;0;1;0;0
2297;P;Por;Rossi F.;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
2799;P;Por;Frattali;Frosinone;0;0;0;0;0;0;0;0;0;0;0;0;0
4351;P;Por;Brancolini;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
4468;P;Por;Bleve;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
4491;P;Por;Berardi A.;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
4525;P;Por;Gemello;Torino;1;5;3;0;2;0;0;0;0;0;0;0;0
5304;P;Por;Boer;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5502;P;Por;Adamonis;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
5707;P;Por;Piana;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
5822;P;Por;Bagnolini;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
5832;P;Por;Luis Maximiano;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
6184;P;Por;Martinelli T.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
6210;P;Por;Popa;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
6234;P;Por;Stubljar;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6248;P;Por;Stankovic F.;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
6255;P;Por;Gori;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
6403;P;Por;Christensen O.;Fiorentina;2;5,75;2,75;0;6;0;0;0;0;0;0;0;0
6406;P;Por;Borbei;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
6415;P;Por;Palmisani;Frosinone;0;0;0;0;0;0;0;0;0;0;0;0;0
6482;P;Por;Mandas;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
6505;P;Por;Nava;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
6509;P;Por;Gasperini T.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
6523;P;Por;Samooja;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
6569;P;Por;Stolz;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
254;D;E;Dimarco;Inter;21;6,5;7,36;4;0;0;0;0;0;6;0;0;0
5513;D;E;Dumfries;Inter;21;6,31;6,81;3;0;0;0;0;0;2;1;0;0
513;D;Dc;Acerbi;Inter;20;6,28;6,6;2;0;0;0;0;0;1;1;0;0
2724;D;Dc;Buongiorno;Torino;18;6,39;6,75;3;0;0;0;0;0;0;5;0;0
4292;D;"Ds;E";Hernandez T.;Milan;23;6,2;6,5;4;0;0;2;1;1;2;8;0;0
2816;D;"Dd;E";Di Lorenzo;Napoli;25;6,18;6,4;1;0;0;0;0;0;5;5;0;0
5323;D;Dc;Martinez Quarta;Fiorentina;20;6,08;6,55;4;0;0;0;0;0;0;5;0;0
5877;D;E;Carlos Augusto;Inter;24;6,21;6,31;0;0;0;0;0;0;3;1;0;0
1852;D;E;Spinazzola;Roma;18;6,11;6,39;1;0;0;0;0;0;2;0;0;0
2788;D;Dc;Bremer;Juventus;25;6,22;6,34;2;0;0;0;0;0;0;6;0;0
4887;D;"Dd;E";Bellanova;Torino;24;6,19;6,42;1;0;0;0;0;0;5;5;0;0
5365;D;"Dd;Dc";Dragusin;Genoa;19;6,11;6,45;2;0;0;0;0;0;1;1;0;0
2120;D;Dc;Bastoni;Inter;20;6,32;6,35;1;0;0;0;0;0;0;5;0;0
2296;D;Dc;Mancini;Roma;25;6;6,22;3;0;0;0;0;0;0;7;0;0
2640;D;"Ds;Dc";Kolasinac;Atalanta;23;6,09;6,15;1;0;0;0;0;0;0;3;0;0
4751;D;Dc;Tomori;Milan;16;6,22;6,66;3;0;0;0;0;0;0;2;1;0
322;D;Dc;De Vrij;Inter;18;6,25;6,42;1;0;0;0;0;0;0;0;0;0
487;D;"Dd;E";De Silvestri;Bologna;11;6,23;6,77;2;0;0;0;0;0;0;0;0;0
554;D;E;Zappacosta;Atalanta;22;5,93;6,16;2;0;0;0;0;0;1;4;0;0
2525;D;"Dd;Dc";Darmian;Inter;22;6,16;6,3;1;0;0;0;0;0;1;2;0;0
5354;D;"Ds;E";Ruggeri;Atalanta;23;5,98;6,09;0;0;0;0;0;0;4;3;0;0
5375;D;E;Maehle;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
5520;D;"Dd;Ds;E";Cambiaso;Juventus;23;6,09;6,24;1;0;0;0;0;0;3;5;0;0
5526;D;Dc;Scalvini;Atalanta;24;6;6,08;0;0;0;0;0;0;3;2;0;0
252;D;"Ds;E";Biraghi;Fiorentina;21;5,95;6,1;1;0;0;0;0;0;3;6;0;0
357;D;"Dd;E";Calabria;Milan;22;6;6,02;0;0;0;0;0;0;3;3;1;0
2169;D;"Ds;Dc";Rodriguez R.;Torino;24;6,08;6,02;0;0;0;0;0;0;0;3;0;0
4237;D;"Dd;Ds;Dc";Danilo;Juventus;18;6,14;6,22;1;0;0;0;0;0;1;5;0;0
4426;D;"Dd;E";Toljan;Sassuolo;18;6,03;6,22;0;0;0;0;0;0;4;1;0;0
4952;D;Dc;Monterisi;Frosinone;18;5,83;6,25;2;0;0;0;0;0;2;1;0;0
5514;D;"Ds;Dc";Vasquez;Genoa;24;6,06;5,98;0;0;0;0;0;0;0;4;0;0
5678;D;E;Holm;Atalanta;12;6,08;6,33;1;0;0;0;0;0;1;4;0;0
5831;D;Dc;Gatti;Juventus;23;5,98;6,07;3;0;0;0;0;0;0;6;0;2
6066;D;"Dd;Dc";Posch;Bologna;20;6,1;6,05;0;0;0;0;0;0;2;6;0;0
6202;D;Dc;Beukema;Bologna;22;6,11;6,18;1;0;0;0;0;0;0;3;0;0
6235;D;"Dd;Ds;E";Kayode;Fiorentina;17;6,12;6,29;1;0;0;0;0;0;1;2;0;0
294;D;Dc;Rugani;Juventus;10;6,15;6,65;2;0;0;0;0;0;0;2;0;0
393;D;Dc;Luperto;Empoli;26;5,96;6,08;1;0;0;0;0;0;1;2;0;0
787;D;Dc;Djimsiti;Atalanta;25;5,94;5,88;0;0;0;0;0;0;0;3;0;0
2160;D;E;Gosens;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
2285;D;Dc;Bani;Genoa;21;6,02;6,12;2;0;0;0;0;0;0;8;0;0
4385;D;E;Lazaro;Torino;22;6,07;6,05;0;0;0;0;0;0;1;3;0;0
4945;D;"Ds;E";Calafiori;Bologna;19;6,18;6,03;0;0;0;0;0;0;1;4;0;1
6217;D;Dc;Bisseck;Inter;5;6,5;7,1;1;0;0;0;0;0;0;0;0;0
6433;D;Dc;Huijsen;Roma;7;6,07;6,43;2;0;0;0;0;0;0;3;0;1
464;D;"Dd;Ds;E";Florenzi;Milan;19;6;6,03;0;0;0;0;0;0;2;4;0;0
791;D;"Dd;Ds;E";Sabelli;Genoa;23;5,98;5,89;0;0;0;0;0;0;0;4;0;0
2006;D;"Dd;E";Lirola;Frosinone;13;5,73;6;1;0;0;0;0;0;1;1;0;0
2180;D;"Dd;E";Karsdorp;Roma;14;6,14;6,25;0;0;0;0;0;0;2;1;0;0
2263;D;"Dd;E";Lazzari;Lazio;18;5,94;5,94;0;0;0;0;0;0;2;2;1;0
2653;D;"Ds;E";Lykogiannis;Bologna;15;5,9;6,2;1;0;0;0;0;0;2;1;0;0
4177;D;"Dd;Dc";Pavard;Inter;13;6,27;6,23;0;0;0;0;0;0;1;3;0;0
4332;D;Dc;Demiral;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
4409;D;Dc;Rrahmani;Napoli;21;5,98;6,19;2;0;0;0;0;0;0;3;0;0
4433;D;"Dd;Ds;E";Zortea;Frosinone;7;6,29;6,86;1;0;0;0;0;0;2;2;0;0
4772;D;"Ds;E";Angelino;Roma;4;5,88;5,38;0;0;0;0;0;0;0;0;0;1
4899;D;E;Singo;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
5239;D;Dc;Llorente D.;Roma;22;5,93;5,89;0;0;0;0;0;0;1;4;0;0
5867;D;"Dd;E";Gendrey;Lecce;25;5,82;5,96;1;0;0;0;0;0;3;5;0;0
6042;D;Dc;Lucumi';Bologna;17;6,06;6,03;0;0;0;0;0;0;0;1;0;0
6148;D;"Ds;E";Kristiansen;Bologna;21;5,9;5,98;0;0;0;0;0;0;3;3;0;0
6230;D;Dc;Dossena;Cagliari;26;5,77;5,96;2;0;0;0;0;0;3;4;0;1
327;D;"Dd;Dc";Patric;Lazio;12;6,04;6,17;1;0;0;0;0;0;0;3;0;0
2252;D;"Ds;Dc";Marchizza;Frosinone;13;6;6,19;0;0;0;0;0;0;3;1;0;0
2405;D;Dc;Boateng J.;Salernitana;4;5,88;5,88;0;0;0;0;0;0;0;0;0;0
4245;D;Dc;Smalling;Roma;4;5,75;5,75;0;0;0;0;0;0;0;0;0;0
4331;D;Dc;Ibanez;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
4502;D;"Ds;E";Gallo;Lecce;22;5,82;5,86;0;0;0;0;0;0;2;2;0;0
4530;D;"Ds;E";Kyriakopoulos;Monza;18;5,92;6;0;0;0;0;0;0;3;3;0;0
4958;D;"Ds;Dc";Caldirola;Monza;22;5,8;5,82;1;0;0;0;0;0;0;3;1;0
5555;D;"Ds;E";Kamara H.;Udinese;19;6;5,92;0;0;0;0;0;0;0;3;0;0
5838;D;"Dd;Ds;E";Birindelli;Monza;20;6,02;5,9;0;0;0;0;0;0;0;5;0;0
5848;D;"Dd;E";Ebosele;Udinese;25;5,88;5,8;0;0;0;0;0;0;0;4;0;0
6041;D;Dc;Schuurs;Torino;9;6,11;6,33;1;0;0;0;0;0;0;2;0;0
6220;D;"Dd;E";Kristensen;Roma;22;5,75;5,8;1;0;0;0;0;0;2;4;0;1
459;D;Dc;Manolas;Salernitana;1;6;6;0;0;0;0;0;0;0;0;0;0
460;D;Dc;Romagnoli;Lazio;18;6,03;5,92;0;0;0;0;0;0;0;4;0;0
2016;D;Dc;Fazio;Salernitana;11;5,91;6,14;1;0;0;0;0;0;1;3;0;0
2318;D;"Ds;E";Rogerio;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
2728;D;"Ds;E";Pellegrini Lu.;Lazio;13;5,85;5,92;1;0;0;0;0;0;0;4;0;0
2769;D;Dc;Magnani;Verona;20;5,95;5,85;0;0;0;0;0;0;0;4;0;0
2869;D;Dc;Djidji;Torino;10;6;5,9;0;0;0;0;0;0;0;2;0;0
4401;D;Dc;Gabbia;Milan;7;6,07;6,36;1;0;0;0;0;0;0;2;0;0
4421;D;"Ds;E";Augello;Cagliari;21;5,71;5,71;0;0;0;0;0;0;1;2;0;0
4461;D;"Dd;E";Zappa;Cagliari;26;5,71;5,79;1;0;0;0;0;0;0;2;0;0
4904;D;Dc;Mari';Monza;21;5,98;5,81;0;0;0;0;0;0;0;7;0;0
4982;D;Dc;Erlic;Sassuolo;22;5,75;5,8;1;0;0;0;0;0;0;4;0;0
5067;D;E;Bakker;Atalanta;6;5,75;6,17;1;0;0;0;0;0;0;1;0;0
5481;D;"Dd;Ds;E";Mazzocchi;Napoli;23;5,65;5,61;0;0;0;0;0;0;2;4;1;0
5677;D;Dc;Perez N.;Udinese;26;5,87;5,79;0;0;0;0;0;0;0;4;0;0
5739;D;"Dd;Dc";De Winter;Genoa;19;5,97;5,82;0;0;0;0;0;0;1;6;1;0
5812;D;"Dd;E";Terracciano F.;Milan;18;5,92;5,92;0;0;0;0;0;0;1;2;0;0
5833;D;Dc;Gila;Lazio;13;5,96;5,81;0;0;0;0;0;0;0;2;1;0
5862;D;"Ds;E";Valeri;Frosinone;4;5,38;5,25;0;0;0;0;0;0;0;1;0;0
6047;D;"Dd;E";Ehizibue;Udinese;10;5,85;5,85;0;0;0;0;0;0;1;2;0;0
6211;D;"Ds;E";Zemura;Udinese;16;5,84;6;1;0;0;0;0;0;0;1;0;0
6231;D;"Ds;E";Azzi;Cagliari;16;5,91;5,88;0;0;0;0;0;0;0;1;0;0
76;D;Dc;Romagnoli S.;Frosinone;22;5,7;5,73;1;0;0;0;0;0;0;5;0;0
697;D;E;Cuadrado;Inter;7;6,07;6,29;0;0;0;0;0;0;2;1;0;0
1895;D;Dc;Ferrari G.;Sassuolo;15;5,57;5,67;1;0;0;0;0;0;0;3;0;0
2164;D;Dc;Milenkovic;Fiorentina;22;5,75;5,68;0;0;0;0;0;0;0;3;0;0
2593;D;"Ds;E";Martin;Genoa;12;5,83;5,75;0;0;0;0;0;0;1;2;1;0
2633;D;Dc;Kjaer;Milan;12;5,88;5,92;0;0;0;0;0;0;1;1;0;0
4378;D;"Ds;Dc";Ranieri L.;Fiorentina;16;5,88;5,78;1;0;0;0;0;0;0;10;0;0
4493;D;Dc;Dawidowicz;Verona;19;5,87;5,66;0;0;0;0;0;0;0;4;0;1
4925;D;"Ds;Dc";Carboni A.;Monza;16;5,91;5,88;0;0;0;0;0;0;0;1;0;0
5532;D;"Ds;E";Bradaric;Salernitana;25;5,68;5,7;0;0;0;0;0;0;3;5;0;0
5603;D;Dc;Pongracic;Lecce;24;5,85;5,69;0;0;0;0;0;0;0;6;1;0
5750;D;Dc;Ostigard;Napoli;13;5,88;6,04;1;0;0;0;0;0;0;2;0;0
5804;D;"Ds;E";Cacace;Empoli;20;5,65;5,52;0;0;0;0;0;0;0;5;0;0
5835;D;"Dd;Dc";Baschirotto;Lecce;25;5,68;5,66;0;0;0;0;0;0;1;1;1;0
5847;D;Dc;Bijol;Udinese;13;6,04;6;0;0;0;0;0;0;0;1;0;0
5851;D;"Ds;E";Doig;Sassuolo;18;5,81;5,69;0;0;0;0;0;0;0;4;0;0
5982;D;"Dd;E";Spence;Genoa;3;6;6;0;0;0;0;0;0;0;0;0;0
6257;D;"Ds;E";Dorgu;Lecce;18;5,89;5,92;1;0;0;0;0;0;0;5;0;0
6426;D;"Dd;E";Pedersen;Sassuolo;19;5,74;5,74;0;0;0;0;0;0;2;4;0;0
6533;D;Dc;Giannetti L.;Udinese;4;5,88;6,38;1;0;0;0;0;0;0;2;0;0
142;D;"Ds;E";Mario Rui;Napoli;15;5,83;5,73;0;0;0;0;0;0;1;5;0;0
253;D;"Dd;Ds;Dc";D'Ambrosio;Monza;19;5,84;5,71;0;0;0;0;0;0;0;3;1;0
256;D;"Ds;Dc";Juan Jesus;Napoli;15;5,8;5,63;0;0;0;0;0;0;0;5;0;0
286;D;Dc;Bonucci;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
418;D;Dc;Goldaniga;Cagliari;13;5,65;5,54;0;0;0;0;0;0;0;3;0;0
581;D;"Dd;E";Faraoni;Fiorentina;15;5,77;5,67;0;0;0;0;0;0;1;5;0;0
729;D;"Dd;E";Pereira P.;Monza;14;5,75;5,71;0;0;0;0;0;0;1;3;0;0
1891;D;"Dd;Dc";Ceccherini;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
2083;D;"Dd;Dc";Biraschi;Genoa;1;6;9;1;0;0;0;0;0;0;0;0;0
2104;D;"Dd;E";Bereszynski;Empoli;12;5,79;5,79;0;0;0;0;0;0;1;2;0;0
2188;D;"Dd;Ds;E";Marusic;Lazio;26;5,63;5,58;0;0;0;0;0;0;0;3;0;0
4210;D;Dc;Mina;Cagliari;5;5,9;5,8;0;0;0;0;0;0;0;1;0;0
4317;D;Dc;N'Dicka;Roma;16;5,88;5,84;0;0;0;0;0;0;1;3;0;0
4374;D;Dc;Walukiewicz;Empoli;17;5,68;5,53;0;0;0;0;0;0;0;5;0;0
4432;D;Dc;Okoli;Frosinone;22;5,7;5,57;0;0;0;0;0;0;0;6;0;0
4994;D;E;Vojvoda;Torino;12;5,88;5,92;0;0;0;0;0;0;1;1;0;0
5010;D;Dc;Ismajli;Empoli;19;5,63;5,61;0;0;0;0;0;0;0;1;0;0
5332;D;"Ds;E";Bastoni S.;Empoli;6;5,92;6,25;1;0;0;0;0;0;0;2;0;0
5449;D;"Ds;E";Parisi;Fiorentina;15;5,63;5,6;0;0;0;0;0;0;1;3;0;0
5480;D;"Dd;E";Ebuehi;Empoli;14;5,79;5,86;0;0;0;0;0;0;1;0;0;0
5509;D;"Ds;E";Vina;Sassuolo;15;5,7;5,6;0;0;0;0;0;0;3;1;0;2
5533;D;"Dd;Ds;Dc";Djalo';Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
5840;D;"Ds;E";Olivera;Napoli;14;5,93;5,82;0;0;0;0;0;0;0;3;0;0
5856;D;"Dd;E";Sambia;Salernitana;7;5,93;5,93;0;0;0;0;0;0;0;0;0;0
6046;D;Dc;Hien;Atalanta;12;5,88;5,71;0;0;0;0;0;0;0;2;1;0
6256;D;"Dd;E";Ferreira J.;Udinese;21;5,71;5,57;0;0;0;0;0;0;1;8;0;0
6485;D;Dc;Kristensen T.;Udinese;17;5,62;5,5;0;0;0;0;0;0;0;2;1;0
6576;D;"Dd;E";Centonze;Verona;2;5,75;5,5;0;0;0;0;0;0;0;1;0;0
49;D;"Ds;Dc";Masina;Torino;7;5,71;5,57;0;0;0;0;0;0;0;2;0;0
140;D;"Dd;Ds;E";Hysaj;Lazio;11;5,59;5,55;0;0;0;0;0;0;0;1;0;0
226;D;Dc;Izzo;Monza;9;5,83;5,61;0;0;0;0;0;0;0;5;0;0
662;D;"Ds;Dc";Alex Sandro;Juventus;7;5,79;5,71;0;0;0;0;0;0;0;1;0;0
2130;D;E;Hateboer;Atalanta;10;5,65;5,65;0;0;0;0;0;0;1;3;0;0
4263;D;Dc;Kabasele;Udinese;10;5,75;5,8;1;0;0;0;0;0;0;5;0;0
4657;D;"Dd;E";Celik;Roma;6;5,75;5,75;0;0;0;0;0;0;0;0;0;0
4802;D;"Ds;E";Vinagre;Verona;2;5,5;5,5;0;0;0;0;0;0;0;0;0;0
4897;D;Dc;Pirola;Salernitana;15;5,47;5,6;1;0;0;0;0;0;0;2;0;0
4934;D;Dc;Lovato;Torino;15;5,5;5,4;0;0;0;0;0;0;0;3;0;0
5447;D;Dc;Altare;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
5450;D;"Dd;E";Stojanovic;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
5498;D;Dc;Casale;Lazio;11;5,64;5,59;0;0;0;0;0;0;0;1;0;0
5527;D;"Dd;E";Zanoli;Salernitana;8;5,69;5,38;0;0;0;0;0;0;0;2;0;1
5695;D;"Ds;E";Haps;Genoa;9;5,83;5,94;0;0;0;0;0;0;1;0;0;0
5718;D;Dc;Viti;Sassuolo;9;5,78;5,56;0;0;0;0;0;0;0;0;0;1
5764;D;Dc;Coppola D.;Verona;10;5,7;5,7;1;0;0;0;0;0;0;6;0;0
6039;D;"Ds;Dc";Cabal;Verona;8;5,81;5,69;0;0;0;0;0;0;0;2;0;0
6055;D;Dc;Thiaw;Milan;13;5,73;5,54;0;0;0;0;0;0;0;3;1;0
6238;D;"Dd;Ds;Dc";Oyono;Frosinone;14;5,82;5,75;0;0;0;0;0;0;1;4;0;0
6396;D;Dc;Natan;Napoli;12;5,83;5,71;0;0;0;0;0;0;0;1;1;0
6432;D;"Dd;Ds;E";Pierozzi;Salernitana;5;6,1;5,9;0;0;0;0;0;0;0;2;0;0
6574;D;Dc;Pasalidis;Salernitana;3;5,17;5;0;0;0;0;0;0;0;1;0;0
660;D;Dc;Gyomber;Salernitana;19;5,37;5,13;0;0;0;0;0;0;0;9;0;0
695;D;Dc;Toloi;Atalanta;6;5,92;5,58;0;0;0;0;0;0;0;2;1;0
2192;D;Dc;Bonifazi;Frosinone;2;5,75;5,75;0;0;0;0;0;0;0;0;0;0
5017;D;"Ds;E";Ballo-Toure';Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
5316;D;"Ds;Dc";Amione;Verona;8;5,69;5,56;0;0;0;0;0;0;0;2;0;0
5406;D;"Dd;E";Di Pardo;Cagliari;6;5,83;5,83;0;0;0;0;0;0;0;0;0;0
5554;D;"Dd;Dc";Daniliuc;Salernitana;11;5,45;5,36;0;0;0;0;0;0;0;2;0;0
5686;D;E;Soppy;Torino;3;5,83;5,83;0;0;0;0;0;0;0;0;0;0
5691;D;Dc;Zima;Torino;3;6;6;0;0;0;0;0;0;0;0;0;0
5701;D;Dc;Obert;Cagliari;9;5,33;5,28;0;0;0;0;0;0;0;1;0;0
5747;D;Dc;Tressoldi;Sassuolo;19;5,16;5,03;0;0;0;0;0;0;0;3;1;0
5748;D;"Dd;E";Hefti;Genoa;5;5,7;5,7;0;0;0;0;0;0;0;0;0;0
5885;D;"Dd;E";Dodo';Fiorentina;3;5,5;5,5;0;0;0;0;0;0;0;0;0;0
6023;D;Dc;Guessand A.;Udinese;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
6245;D;"Dd;Dc";Vogliacco;Genoa;7;5,71;5,5;0;0;0;0;0;0;0;3;0;0
6401;D;Dc;Gonzalez F.;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
6438;D;"Dd;Dc";Hatzidiakos;Cagliari;10;5,45;5,4;0;0;0;0;0;0;0;1;0;0
6444;D;Dc;Bonfanti;Atalanta;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
6460;D;Dc;Pellegrino;Salernitana;5;5,2;5,2;0;0;0;0;0;0;0;0;0;0
6464;D;Dc;Wieteska;Cagliari;10;5,55;5,45;0;0;0;0;0;0;1;2;1;0
6465;D;"Ds;Dc";Touba;Lecce;6;5,42;5,33;0;0;0;0;0;0;0;1;0;0
6474;D;Dc;Sazonov;Torino;7;5,71;5,64;0;0;0;0;0;0;0;1;0;0
6496;D;"Ds;E";Bartesaghi;Milan;3;6;6;0;0;0;0;0;0;0;0;0;0
6521;D;Dc;Simic J.;Milan;3;6,17;7,17;1;0;0;0;0;0;0;0;0;0
6551;D;Dc;Ilic M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
139;D;Dc;Dermaku;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
144;D;Dc;Tonelli;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
358;D;"Dd;Ds;E";De Sciglio;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
454;D;Dc;Capradossi;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
770;D;"Ds;E";Pezzella Giu.;Empoli;4;5,38;5,25;0;0;0;0;0;0;0;1;0;0
1876;D;"Ds;E";Pajac;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
2174;D;"Dd;Ds;E";Venuti;Lecce;3;5,5;5,33;0;0;0;0;0;0;0;1;0;0
2181;D;Dc;Palomino;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
2446;D;"Dd;Dc";Donati;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
2737;D;Dc;Bettella;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
2758;D;Dc;Gunter;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
4495;D;Dc;Kumbulla;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
